ingredient,substitutes
kura olives,nafplion green olives
lavender,parfait amour
lemon blossoms,orange blossoms
lemon marmalade,orange marmalade
lighter bake,pureed prunes
ligurian olives,nicoise olives
lilac,lavender
loganberry jam,"raspberry preserves, gooseberry preserves, cloudberry preserves"
lotus leaves,"banana leaves, parchment paper"
lucque olives,"picholine olives, cerignola olives"
lumpia wrapper,"lettuce, egg roll wrappers, rice paper, pasta sheet"
maggi's seasoning sauce,"thai sweet soy sauce, mushroom soy sauce"
maguey leaves,"banana leaves, avocado leaves"
manzanilla olives,caper berry
maraschino cherry,cherry flavoring
marigold blossom,nasturtium
mint-flavored apple jelly,mint sauce
mission olives,kalamata olives
moroccan green olives,green olives
muscadine jelly,"grape jelly, red currant jelly"
mushroom soy sauce,dark soy sauce
prepared mustard,"chinese mustard, dijon mustard, creole mustard, mustard seeds"
nafplion green olives,greek green olives
nam prik,sambal terasi
nam prik pao,"chile paste, red pepper flakes"
nasturtium,"marigold blossom, pansy"
nicoise olives,"kalamata olives, gaeta olives"
olive butter,"tapenade, butter"
olives,"cocktail onion, onion flakes, sun-dried tomatoes, capers"
orange blossoms,lemon blossoms
orange marmalade,lemon marmalade
oyster sauce,soy sauce
pansy,"nasturtium, violet, johnny jump-up"
papaya leaves,lotus leaves
parchment paper,"wax paper, rice paper, aluminum foil, vegetable oil, plastic bag"
peach blossoms,plum blossoms
peach jam,apricot jam
pepperoncini,pickled cherry pepper
piccalilli relish,pickle relish
picholine olives,"lucque olives, cergnola olives, green olives, caper berry, cocktail onion"
pickle relish,"bread and butter pickles, piccalilli relish"
pickled asparagus,"pickled string beans, pickled okra"
pickled beets,pickled carrots
pickled carrots,pickled beets
pickled cauliflower,"giardiniera, pickled onions"
pickled eggs,"salted duck egg, thousand-year egg"
pickled mustard cabbage,kim chee
pickled nasturtium buds,capers
pickled okra,"pickled asparagus, pickled string beans"
pickled onions,"cocktail onion, caper berry"
pickled string beans,okra
pil pil sauce,"bernaise sauce, hollandaise sauce"
piri piri sauce,"sriracha, red chile sauce"
plastic wrap,"plastic bag, wax paper, aluminum foil"
plum blossoms,peach blossoms
plum puree,"applesauce, lighter bake"
plum sauce,hoisin sauce
potsticker wrappers,"sui kow wrappers, dumpling wrappers, wonton wrappers, egg roll wrappers, pasta sheet"
pumpkin puree,sweet potato
pureed prunes,"apple butter, lighter bake"
rapberry preserves,"strawberry preserves, blueberry jam"
ravioli wrappers,"pasta sheet, egg roll wrappers, wonton wrappers, dumpling wrappers"
recaito,"salsa verde, chile verde sauce"
red bean curd,"red sweet bean paste, red miso"
red chile sauce,piri piri sauce
red currant jelly,black currant jelly
red curry paste,yellow curry paste
red pepper sauce,tomato sauce
rice paper,"egg roll wrappers, puff pastry dough"
rocoto sauce,"red chile sauce, salsa verde"
rose petals,violet
rosella,cranberry
royal olives,"atalanta olives, kalamata olives"
salsa,"enchilada sauce, salsa verde"
salsa verde,"chile verde sauce, enchilada sauce, taco sauce, recaito"
sambal bajak,"chili garlic sauce, chili sauce"
sambal manis,"sambal oelek, soy sauce"
sambal oelek,"chile paste, harissa, hot pepper sauce, red pepper flakes, chili powder"
sambal terasi,nam prik
sate sauce,sriracha
sauerkraut,kim chee
sausage casings,cheesecloth
sevillano olive,manzanilla olives
shrimp paste,anchovy paste
sicillian olive,manzanilla olives
silken tofu,"soft tofu, sour cream, mayonnaise, yogurt"
snapdragon,"impatiens, nasturtium"
soy sauce,"tamari, maggi's seasoning sauce, kecap manis, worcestershire sauce"
squash blossoms,huitlacoche
sriracha,tabasco sauce
strawberry preserves,"raspberry preserves, apricot jam"
sui kow wrappers,"potsticker wrappers, dumpling wrappers, wonton wrappers, egg roll wrappers, pasta sheet"
sweet and sour sauce,plum sauce
sweet bean sauce,hoisin sauce
sweet cherry pepper,"pepperoncini, giardiniera"
sweet gherkin,cornichon
tabasco sauce,"sriracha, adobo sauce"
taco sauce,enchilada sauce
tamari,soy sauce
tamarind paste,"lime juice, lemon juice"
tapenade,olive butter
thai sweet soy sauce,"maggi's seasoning sauce, mushroom soy sauce, dark soy sauce"
ti leaves,"corn husks, aluminum foil, banana leaves"
tomato paste,"tomato sauce, tomatoes canned, tomato puree, kethcup"
tomato puree,tomato sauce
tomato sauce,tomato puree
canned tomatoes,tomato paste
umeboshi plums,salt
umeboshi puree,"sea salt, miso, soy sauce"
violet,"nasturtium, borage, pansy"
wasabi,prepared horseradish
wasabi powder,"horseradish, mustard powder"
wax paper,"parchment paper, aluminum foil, plastic wrap"
whole-grain mustard,"dijon mustard, creole mustard"
wonton wrappers,"egg roll wrappers, dumpling wrappers, potsticker wrappers, pasta sheet"
worcestershire sauce,"fish sauce, soy sauce"
xo sauce,sate sauce
yellow curry paste,red curry paste
amaretti,"biscotti, ladyfingers, graham crackers, macaroon"
angel food cake,"sponge cake, genoise, pound cake"
arepa,"corn tortilla, pita bread"
bagel,"english muffin, bialy"
baked pizza crust,"focaccia, fougasse, bread dough"
barbari bread,sangak bread
bialy,bagel
biscotti,"mandelbrot, amaretti"
bolillo,"french bread, tortilla"
bolo de milho,corn tortilla
bread,"corn tortilla, flour tortilla, cheese, lettuce, sweet potato"
breadcrumbs,"panko, saltine crackers, croutons, stuffing, cornflake crumbs, matzo meal, crushed rice cake"
breading,"panko, cracker meal, cornflake crumbs"
breadsticks,"italian bread, french bread"
breakfast cracker,water cracker
brioche,"challah, croissant, kugelhopf"
butter cake,"pound cake, sponge cake, angel food cake"
butter cookie,shortbread
cake crumbs,"pound cake, breadcrumbs"
cannoli shell,omit
challah,"brioche, portuguese sweet bread, croissant"
chalupa,"gordita, corn tortilla, sope, bolo de milho"
chapati,"flour tortilla, paratha, naan, pita bread"
chips,"potato chips, corn chips"
chocolate wafer,gingersnap
chocolate wafer crumbs,"chocolate wafer crumble, oreo cookie crush, graham cracker crumbs, vanilla wafer crumbs"
ciabatta,"italian bread, french bread"
ciambellone,panettone
coating mix,"breadcrumbs, cracker meal"
corn chips,"tortilla chips, potato chips"
corn rye bread,rye bread
corn tortilla,"flour tortilla, corn chips"
cornbread crumbs,breadcrumbs
cornflake crumbs,"breadcrumbs, panko, cornmeal, cracker meal, coating mix, crushed pretzel"
cracker bread,"matzo, naan, flour tortilla"
cracker meal,"breadcrumbs, panko, matzo meal, cornflake crumbs"
croissant,"brioche, challah"
crostini,"melba toast, water cracker"
croustade,"water cracker, bolillo, barquette, crostini, white bread"
croutons,"jicama, jerusalem artichokes, friselle, soup nuts"
crumpet,english muffin
digestive biscuit,"graham crackers, wheatmeal biscuit"
dreikornbrot,"kommisbrot, rye bread"
english muffin,"crumpet, toasted bread, bagel, croissant"
farfel,"egg barley, cracker meal, chow mein noodles"
flour tortilla,"corn tortilla, chapati"
foam cakes,shortened cakes
focaccia,"fougasse, baked pizza crust, bread dough"
french bread,italian bread
friselle,"zwieback, croutons"
fruitcake,"ciambellone, stollen"
genoise,"sponge cake, ladyfingers, pound cake, madeleine"
ginger nut,gingersnap
gingersnap,"graham crackers, chocolate wafer, ginger root, ground ginger"
gingersnap crumbs,"graham cracker crumble, chocolate wafer crumble, vanilla wafer crumbs"
gordita,"corn tortilla, chalupa, pita bread, flour tortilla"
graham cracker crumbs,"vanilla wafer crumbs, chocolate wafer crumbs, crushed zwieback"
graham crackers,"digestive biscuit, wheatmeal biscuit, gingersnap, chocolate wafer, vanilla wafer"
greek bread,italian bread
groninger koek,fruitcake
hardtack,zwieback
idli,"naan, paratha, chapati"
indian fry bread,"pita bread, flour tortilla"
injera,"flour tortilla, naan"
italian bread,french bread
kommisbrot,"rye bread, dreikornbrot"
kugelhopf,"panettone, kulich, brioche"
ladyfingers,"genoise, sponge cake, pound cake, brioche"
lefse,flour tortilla
limpa bread,"pumpernickel bread, kommisbrot, dreikornbrot, rye bread"
macaroon,amaretti
madeleine,sponge cake
mandarin pancakes,flour tortilla
mandelbrot,biscotti
matzo,cracker bread
matzo meal,"matzo grind, breadcrumbs, cracker meal"
melba toast,"french bread, zwieback, croutons, water cracker"
naan,"chapati, flour tortilla, pita bread, paratha, rice"
oreo cookie,"chocolate wafer, vanilla wafer"
panettone,"fruitcake, ciambellone"
panko,"breadcrumbs, cracker meal, melba toast"
pappadam,"cracker bread, shrimp chips"
paratha,"chapati, flour tortilla"
piadina,flour tortilla
pita bread,flour tortilla
portuguese sweet bread,"challah, brioche"
potato chips,"bagel chips, pretzel, corn chips, chips"
pound cake,"butter cake, genoise"
pretzel,"potato chips, rice crackers"
pugliese bread,italian bread
pumpernickel bread,russian black bread
pupusa,"gordita, corn tortilla"
raisin bread,stollen
rice cake,popcorn
rice crackers,"potato chips, pretzel"
ritz cracker,water cracker
russian black bread,pumpernickel bread
rye bread,"pumpernickel bread, limpa bread"
saltine cracker,"water cracker, ritz cracker"
sangak bread,"pita bread, naan"
scone,"english muffin, shortcake"
shortbread,butter cookie
shortcake,"pound cake, sponge cake"
shortened cakes,foam cakes
shrimp chips,pappadam
sope,"corn tortilla, gordita"
soup nuts,"farfel, matzo meal, croutons"
sourdough bread,french bread
sponge cake,"genoise, angel food cake, pound cake, madeleine"
stollen,raisin bread
stuffing,"white bread, breadcrumbs, croutons, cornbread crumbs, rice, potato"
sweet biscuit crumbs,graham cracker crumbs
taco shell,"corn tortilla, flour tortilla, corn chips"
tortilla,"chapati, naan, pita bread"
tortilla chips,"corn chips, potato chips"
triscuit,"ritz cracker, water cracker"
vanilla wafer,"chocolate wafer, gingersnap"
vanilla wafer crumbs,"graham cracker crumbs, chocolate wafer crumbs, crushed oreo cookie, gingersnap crumbs"
water cracker,"saltine cracker, ritz cracker, triscuit"
wheatmeal biscuit,"graham crackers, digestive biscuit"
white bread,french bread
zwieback,graham crackers
Cheese,"cheese substitutes, nutritional yeast, tofu, white miso"
Abondance,"gruyere, fontina, appenzell"
Alouette,"boursin, rondele"
American Cheese,"cheddar, swiss cheese"
Appenzell,"emmental, gruyere, raclette, fontina"
asadero,"mozzarella, jack cheese, meunster, provolone"
aged asiago,"parmesan, romano, dry jack, sapsago, breadcrumbs"
fresh asiago,provolone
bavarian blue,blue castello
beaufort,"emmental, gruyere, fontina, tomme crayeuse cheese, reblochon cheese"
beaumont cheese,"muenster, reblochon cheese, havarti, port salut cheese"
bel paese,"fontina, taleggio, gouda, havarti, samoe, muenster, mozzarella, jack cheese"
bierkase,"limburger, havarti"
bleu d'auvergne,"roquefort, maytag blue, fourme d'ambert"
bleu de bresse,"cambozola, blue castello, brie, gorgonzola"
bleu de chevre,"roquefort, gorgonzola"
bleu de gex,stilton cheese
bleu des causses,roquefort
blue castello,"cambozola, bleu de bresse, bavarian blue"
boursault,"brillat savarin cheese, caprice des dieux, saint andre cheese, excelsior, brie, camembert"
boursin,"rondele, alouette"
brick cheese,"lagerkaese, havarti, cheddar, limburger"
brie,"camembert, explorateur, paglietta, carre de l'est, coulommiers, reblochon cheese"
brillat savarin cheese,"boursault, caprice des dieux, saint andre cheese, excelsior, brie"
brinza cheese,feta
burrata,mozzarella
buttermilk cheese,"buttermilk, ricotta cheese, cream cheese"
cabrales,"picon, valdeon, roquefort"
caciocavallo,"provolone, kashkaval, scamorza, kasseri, mozzarella"
caciotta,"pepper jack, jack cheese"
caerphilly,cheddar
cambozola,"blue castello, bleu de bresse, brie, camembert, saga blue, gorgonzola"
camembert,"brie, explorateur, paglietta"
cantal,"cheddar, gruyere, jack cheese, lancashire"
caprice des dieux,"camembert, brie, brillat savarin cheese, saint andre cheese, boursault"
caprino fresco,robiiola piemonte
caprino stagionato,aged chevre
carre de l'est,"epoisses, pont-l'eveque, maroilles, brie, camembert"
casero cheese,"muenster, jack cheese"
cashel bleu,"stilton cheese, gorgonzola, roquefort"
chaource cheese,"camembert, brie"
chaumes,"camembert, brie"
cheddar,"colby, cheshire, american cheese, tofu, nutritional yeast, white miso, cheese substitutes"
cheshire,"cheddar, cheese substitutes"
aged chevre,feta
colby,"cheddar, american cheese, cheese substitutes"
comte,"gruyere, fontina, beaufort, emmental"
cotija,"parmesan, romano, queso enchilada, feta, nutritional yeast"
cottage cheese,"ricotta cheese, fromage blanc, buttermilk cheese, yogurt cheese, tofu"
coulommiers,"brie, camembert, chaource cheese"
cream cheese,"neufchatel, soy cheese, yogurt cheese, buttermilk cheese"
crema danica,"camembert, brie"
danbo,"samsoe, cheddar"
danish blue,blue cheese
derby cheese,cheddar
dry jack,parmesan
edam,"gouda, fontina, leyden, cheese substitutes"
emmental,"jarisberg, beaufort, gruyere, swisss cheese, raclette, cheese substitutes"
epoisses,"Pont-l'eveque, maroilles, muenster"
esrom,"havarti, saint paulin cheese"
excelsior,"boursault, brillat savarin cheese"
explorateur,"brie, camembert"
farmer cheese,"queso fresco, muenster, queso blanco, jack cheese, cottage cheese"
feta,"ricotta salata, brinza cheese, haloumi, cotija, aged chevre"
fontina,"gruyere, emmental, beaufort, edam, gouda, bel paese, appenzell, provolone"
fourme d'ambert,"saint agur cheese, cambozola, cashel bleu, stilton cheese, bleu d'auvergne, bleu de gex"
fresh hispanic cheese,"queso fresco, queso para freir, queso blanco, queso panela"
fresh mozzarella,burrata
fromage blanc,"quark, buttermilk cheese"
fromage frais,"fromage blanc, petit-suisse, got cheese"
gamonedo,cabrales
gervais,cream cheese
gjetost,mysost
gloucester,"cheshire, cheddar"
goat cheese,fromage blanc
gorgonzola,"roquefort, stilton cheese, saga blue"
gouda,"edam, samsoe, bel paese, jack cheese, muenster, cheese substitutes"
gourmandise,vache qui rit
grana padano,"parmesan, aged asiago, romano, nutritional yeast, black olives, breadcrumbs"
graviera,"jarlsberg, gruyere"
greve,"swiss cheese, emmental"
gruyere,"emmental, jarlsberg, appenzell, raclette, swiss cheese"
haloumi,"feta, mozzarella"
hand,"mainzer, harzer, limburger"
harzer,"mainzer, hand, limburger, maroilles, livarot, brick cheese, liederkranz"
havarti,"tilsit, jack cheese, esrom, gouda"
humboldt fog cheese,brie
idiazabal cheese,smoked gouda
jack cheese,"muenster, gouda, bel paese, samsoe"
jarlsberg,"emmental, gruyere, swiss cheese, raclette"
kashkaval,"caciocavallo, provolone, mozzarella"
aged kashkaval,"parmesan, pecorino, kasseri, nutrional yeast"
kasseri,"kefalotyri, caciocavallo, provolone, mozzarella, kashkaval"
kefalotyri,"romano, parmesan, nutritional yeast"
kefir cheese,"neufchatel, yogurt cheese, cream cheese"
lagerkaese,"brick cheese, limburger"
laguiole,jack cheese
lancashire,cheddar
lappi,"emmental, swiss cheese"
leerdammer,"emmental, jarlsberg"
leicester,cheddar
leyden,"gouda, edam"
liederkranz,"schloss, brick cheese, limburger, maroilles, livarot, harzer, mainzer, hand"
limburger,"schloss, maroilles, livarot, harzer, mainzer, hand"
livarot,"maroilles, limburger, harzer, mainzer, brick cheese, liederkranz"
mahon,gouda
mainzer,"harzer, hand, limburger, brick cheese, schloss"
aged manchego,"romano, firm cheese, nutrional yeast"
manchego cheese,"jack cheese, mozzarella"
manouri cheese,"feta, ricotta cheese"
maroilles,"livarot, pont-l'eveque, reblochon cheese, harzer, mainzer, hand, limburger"
mascarpone,ricotta cheese
maytag blue,roquefort
mimolette cheese,parmesan
aged mizithra,"ricotta salata, romano, parmesan, nutritional yeast"
soft mizithra cheese,cottage cheese
montbriac,"cambozola, bleu de bresse, bavarian blue, blue castello"
morbier cheese,"fontina, havarti, esrom"
mozzarella,"scamorza, caciocavallo, string cheese, queso blanco, provolone, kashkaval, kasseri, emmantal, bel paese, fontina, cheddar, tofu, cheese substitutes"
muenster,"jack cheese, brick cheese, port salut cheese, bel paese"
mysost,gjetost
neufchatel,"cream cheese, boursin"
nokkelost,leyden
oka,"raclette, emmental, port salut cheese"
ossau-iraty,"gouda, cheddar"
paglietta,"camembert, brie"
paneer cheese,"tofu, feta"
parmesan,"grana padano, romano, aged asiago, sapsago, sbrinz, fontina, jack cheeese, nutional yeast, soy cheese"
pasta filata,"string cheese, mozzarella, provolone"
pasteurized process cheese spread,margarine
pecorino,"parmesan, aged asiago"
pepper jack,caciotta
petit-suisse,"fromage blanc, quark, cream cheese"
picon,"cabrales, valdeon, roquefort"
pont-l'eveque,"reblochon cheese, camembert, maroilles"
port salut cheese,"saint paulin cheese, esrom, havarti, jack cheese, muenster, brick cheese, bel paese"
pot cheese,"ricotta cheese, cottage cheese, farmer cheese"
processed cheese,"american cheese, vache qui rit, pasteurized process cheese"
provolone,"caciocavallo, scamorza, mozzarella, kasseri, tofu, cheese substitutes"
quark,"fromage frais, yogurt cheese, cottage cheese, mascarpone"
queso blanco,"queso para freir, queso panela, farmer cheese, jack cheese"
queso chihuahua,jack cheese
queso enchilada,"cotija, romano, parmesan, nutritional yeast"
queso fresco,"farmer cheese, cotija, feta, fresh goat cheese, paneer cheese, jack cheese"
queso panela,"queso blanco, mozzarella, queso para freir, feta, ricotta cheese, cottage cheese, requeson cheese"
queso para freir,"queso blanco, mozzarella, queso panelo"
raclette,"emmental, morbier cheese, gruyere, swiss cheese, jarlsberg, reblochon cheese"
reblochon cheese,"pont-l'eveque, brie, beaumont cheese, esrom, beaufort, tomme crayeuse cheese, raclette, port salut cheese, fontina"
requeson cheese,ricotta cheese
ricotta cheese,"queso fresco, goat cheese, cottage cheese, pot cheese, requeson cheese, clabber cream, buttermilk cheese, fromage blanc, tofu"
ricotta salata,"feta, manouri cheese"
robiola,"taleggio, gorgonzola, livarot"
robiola lombardia cheese,"taleggio, reblochon cheese"
robiala piemonte,"ricotta cheese, mascarpone, goat cheese, caprino fresco"
romano,"parmesan, aged asiago, sapsago, aged manchego, nutritonal yeast, cheese substitutes"
rondele,"boursin, rondele"
roquefort,"maytag blue, gorgonzola, stilton cheese, bleu d'auvergne"
saanen,"firm cheese, nutrional yeast"
saga blue,"cambozola, brie, blue castello"
saint agur cheese,"fourme d'ambert, cambozola, cashel bleu, stilton cheese"
saint andre cheese,"boursault, brillat savarin cheese, caprice des dieux"
saint marcellin cheese,"brie, camembert"
saint nectaire cheese,"tomme de savoie cheese, tomme crayeuse cheese"
saint paulin cheese,"esrom, havarti"
samsoe,"emmental, tybo, gouda, bel paese"
sapsago,"romano, parmesan, nutritional yeast"
sbrinz,"emmental, gruyere, parmesan, romano, nutritonal yeast"
scamorza,"mozzarella, caciocavallo, provolone, pasta filata"
schloss,"limburger, brie"
serra,"romano, parmesan, firm cheese, nutrtional yeast"
shropshire blue cheese,stilton cheese
smoked gouda,idiazabal cheese
soft-ripened cheese,"brie, camembert, chaource cheese, brillat savarin cheese"
stilton cheese,"roquefort, gorgonzola, shropshire blue cheese"
stracchino,taleggio
string cheese,mozzarella
swiss cheese,"emmental, gruyere, jarlsberg, raclette, cheese substitutes"
syrian cheese,"jack cheese, muenster"
taleggio,"stracchino, bel paese, fontina, robiola lombardia cheese, urgelia cheese, limburger"
teleme,"camembert, jack cheese"
tete de moine,comte
tilsit,"havarti, jack cheese, esrom, gouda, mahon"
tomme crayeuse cheese,"tomme de savoie cheese, saint nectaire cheese, muenster"
tybo,samsoe
tzfati,"parmesan, firm cheese, nutritional yeast"
urgelia cheese,taleggio
vache qui rit,"gourmandise, comte, cream cheese"
vacherin,"fontina, appenzell, emmental"
valdeon,"cabrales, picon"
vasterboten cheese,"gruyere, comte, cheddar"
washed-rind cheese,"limburger, muenster, maroilles, epoisses, abondance, urgelia cheese, pont-l'eveque, mahon, reblochon cheese, port salut cheese, livarot"
wensleydale,cheddar
whey,ricotta cheese
whey cheeses,"ricotta cheese, gjetost, manouri cheese, soft mizithra cheese, requeson cheese"
yak cheese,swiss cheese
yogurt cheese,"yogurt, cream cheese, buttermilk cheese"
duck egg,egg
egg substitute,egg
egg whites,powdered egg whites
egg yolks,egg
ener-g egg replacer,"egg substitue, egg"
meringue powder,powdered egg whites
powdered egg whites,meringue powder
quail egg,egg
salted duck egg,"thousand-year egg, pickled egg"
thousand-year egg,"salted duck egg, pickled eggs"
egg,"duck egg, egg substitutes, mayonnaise"
acidophilis milk,"almond milk, milk 3.5%"
buttermilk,molasses
clabber cream,"buttermilk cheese, ricoota cheese, crème fraiche"
crema,"sour cream, crème fraiche"
crema fraiche,"crema, clabber cream, sour cream, yogurt"
jocoque,"buttermilk, sour cream, yogurt, crema"
kaymak,"clotted cream, crème fraiche"
kefir,"yogurt, kumiss"
kumiss,"kefir, yogurt"
low-fat yogurt,"yogurt, silken tofu"
prostokvasha,"yogurt, kefir"
qurut,yogurt
smetana,sour cream
sour cream,"buttermilk, yogurt, jocoque, smetana, sour milk"
sour milk,"buttermilk, milk 3.5%"
yogurt,"milk 3.5%, low-fat yogurt, sour cream, buttermilk, cottage cheese, silken tofu"
breakfast cream,clotted cream
clotted cream,breakfast cream
cream,"evaporated milk, yogurt"
double cream,"heavy cream, crème fraiche"
evaporated milk,"half-and-half, milnot, cream"
goat's milk,"milk 3.5%, oat milk, buttermilk, soy milk, rice milk, almond milk, water"
half-and-half,evaporated milk
heavy cream,"crème fraiche, light cream, evaporated milk, milk 3.5%, cottage cheese, ricotta cheese, silken tofu, coconut milk"
light cream,"evaporated milk, half-and-half"
ligh whipping cream,"heavy cream, evaporated milk"
milk 0.5% nonfat,"goat's milk, oat milk, soy milk, rice milk, almond milk, water, acidophilis milk"
milk 2.0% low fat,"goat's milk, oat milk, acidophilis milk, soy milk, rice milk, almond milk, water"
milk 3.5%,"goat's milk, half-and-half, oat milk, evaporated milk, soy milk, rice milk, almond milk, water"
sweetened condensed milk,milk 3.5%
milnot,evaporated milk
powdered milk,milk 3.5%
raw milk,acidophilis milk
ultra-pasteurized cream,heavy cream
whipped cream,"yogurt, marshmallow, non-dairy topping"
almond oil,"hazelnut oil, walnut oil, vegetable oil, olive oil"
annatto paste,food coloring
avocado oil,grapeseed oil
bacon grease,lardo
butter,"olive oil, margarine, heavy cream, shortening, lard"
butter powder,"butter, margarine"
butter-flavored spray,"cooking spray, butter"
canola oil,"corn oil, peanut oil, vegetable oil, cooking spray, grapeseed oil, sunflower oil"
caul fat,bacon
clarified butter,"butter, canola oil, vegetable oil, butter, cooking spray"
coconut oil,"canola oil, corn oil"
cooking spray,"vegetable oil, olive oil, butter"
copha,vegetable oil
corn oil,"canola oil, safflower oil, soybean oil, peanut oil, cooking spray"
duck fat,"goose fat, lard"
european-style butter,butter
goat's butter,butter
goose fat,"duck fat, lard"
grapeseed oil,"avocado oil, safflower oil, sunflower oil, peanut oil, corn oil, soybean oil"
hazelnut oil,"walnut oil, almond oil, olive oil"
hot chili oil,sesame chili oil
lard,"butter, margarine, bacon grease, shortening, vegetable oil"
lard leaves,fatback
lardo,pancetta
margarine,"butter, lard"
mustard oil,balsamic vinegar
olive oil,"almond oil, hazelnut oil, sesame oil, walnut oil, peanut oil, corn oil, cooking spray"
olive oil spray,"cooking spray, olive oil"
palm oil,"annatto oil, peanut oil"
peanut oil,"corn oil, soybean oil, safflower oil, canola oil, vegetable oil, cooking spray"
safflower oil,"canola oil, corn oil, soybean oil, peanut oil, cooking spray"
schmaltz,corn oil
sesame chili oil,"hot chili oil, sesame oil"
shortening,"butter, margarine, lard"
soybean oil,"corn oil, canola oil, safflower oil, peanut oil, cooking spray"
suet,"shortening, fatback, butter"
sunflower oil,"walnut oil, safflower oil, canola oil, grapeseed oil, corn oil, soybean oil, peanut oil, cooking spray"
vegetable oil,"corn oil, safflower oil, shortening, cooking spray, canola oil, grapeseed oil, peanut oil"
vegetable oil spray,"cooking spray, vegetable oil"
walnut oil,"hazelnut oil, almond oil, sunflower oil, olive oil"
whipped butter,beaten butter
yak butter,butter
abalone,"ormer, geoduck clam, conch"
albacore,tuna
american black caviar,"beluga caviar, hackleback roe, paddlefiish roe, lumpfish roe"
anchovies,"anchove paste, smelt, sardines"
arctic char,"salmon, striped bass"
ayu,sardines
