id,title,ingredients,directions,link,source,NER
545528,Nol'S Etouffee,"[""1 c. flour"", ""1 stick butter"", ""1 large bell pepper, chopped"", ""1 large onion, chopped"", ""1 rib celery, chopped"", ""4 cloves garlic, chopped"", ""1 c. chicken broth or 2 cubes chicken bouillon, dissolved in 1 c. water"", ""1 can Ro-Tel tomatoes and green chilies"", ""1 lb. shrimp, cooked and peeled or 1 lb. crawfish tails, peeled""]","[""In a microwave-safe bowl, prepare roux by cooking the flour in the microwave for 2 minutes."", ""Stir and continue to microwave in 1 minute increments stopping to stir frequently to prevent roux from burning or getting hot spots, continuing this process until the flour turns dark tan. If you burn and get hard black pieces, you can remove with spoon and the rest of the roux will be okay.""]",www.cookbooks.com/Recipe-Details.aspx?id=8709,Gathered,"[""flour"", ""butter"", ""bell pepper"", ""onion"", ""celery"", ""garlic"", ""chicken broth"", ""Ro-Tel tomatoes"", ""shrimp""]"
769476,Steamed Cabbage,"[""1 head fresh cabbage, chopped"", ""1/2 stick butter"", ""1/4 c. hot water"", ""pinch of hot pepper""]","[""Put cabbage in skillet\twith"", ""butter, hot water and hot pepper."", ""Cook over medium heat for 15 to 20 minutes."", ""Sprinkle with salt and serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=619149,Gathered,"[""cabbage"", ""butter"", ""hot water"", ""pepper""]"
1105819,Lamp Chop Marinade,"[""10 tablespoons oil"", ""6 tablespoons soy sauce"", ""2 tablespoons Worcestershire sauce"", ""2 tablespoons vinegar"", ""2 1/2 tablespoons lemon juice"", ""1 teaspoon salt"", ""1 tablespoon mustard"", ""1/2 teaspoon pepper"", ""1 teaspoon parsley flakes"", ""1 garlic clove""]","[""Combine all ingredients and mix well (shaking works)."", ""Enough for at least 8 chops. You can also cut a roast into chunks and marinate for kabobs or just serving pieces."", ""Marinade overnight or at least 4 hours."", ""Grill as normal!""]",www.food.com/recipe/lamp-chop-marinade-491692,Gathered,"[""oil"", ""soy sauce"", ""Worcestershire sauce"", ""vinegar"", ""lemon juice"", ""salt"", ""mustard"", ""pepper"", ""parsley flakes"", ""garlic""]"
1736209,The Return Of Cocktail Of The Week: Le Rouge Superieur Cocktail,"[""4 ounces Lillet Rouge"", ""1 ounce Louis Royer Force 53 VSOP Cognac"", ""1/4 ounce Delaware Phoenix Meadow of Love Absinthe"", ""cinnamon stick"", ""allspice, for mulling""]","[""Mull and strain."", ""Pour over ice in a rocks glass."", ""Garnish with a cinnamon stick.""]",www.foodrepublic.com/recipes/the-return-of-cocktail-of-the-week-le-rouge-superieur-cocktail-recipe/,Recipes1M,"[""Lillet Rouge"", ""Cognac"", ""Absinthe"", ""cinnamon stick"", ""allspice""]"
387194,Mighty Fine Hash Brown Potato Casserole,"[""1 (32 oz.) pkg. frozen shredded hash brown potatoes"", ""1 can cream of chicken soup (undiluted)"", ""8 oz. sour cream"", ""1/2 c. chopped onion"", ""2 c. (8 oz.) shredded sharp Cheddar cheese"", ""1 1/2 sticks butter or margarine"", ""2 c. corn flakes, crushed"", ""salt to taste"", ""pepper to taste""]","[""Combine potatoes, 1 stick melted butter, onion, soup, sour cream, cheese and salt and pepper. Stir well and spoon into greased 9 x 13 baking dish. Combine crushed corn flakes with 1/2 stick melted butter; stir, then sprinkle over potato mixture. Bake at 350\u00b0 for 50 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=101794,Gathered,"[""potatoes"", ""cream of chicken soup"", ""sour cream"", ""onion"", ""Cheddar cheese"", ""butter"", ""corn flakes"", ""salt"", ""pepper""]"
1775955,The Perfect Hot Cocoa aa,"[""2 tbsp Cocoa"", ""2 tbsp Sugar"", ""1 dash Salt"", ""1 cup Milk"", ""1/4 tsp vanilla extract""]","[""1."", ""Mix cocoa, sugar, and salt in large mug."", ""2."", ""Heat up the cup of milk."", ""When hot, stir in cocoa mixture and stir in vanilla extract; stir well, and serve!"", ""* TIP * Add whipped cream on top with a dash of cocoa for a more festive look!"", ""a""]",cookpad.com/us/recipes/346865-the-perfect-hot-cocoa-%E2%9B%84%E2%98%95,Recipes1M,"[""Cocoa"", ""Sugar"", ""Salt"", ""Milk"", ""vanilla""]"
2105385,BLUEBERRY - LEMON JAM,"[""4 1/2 cup blueberries ( about 1 & 1/2 lbs )"", ""1/3 cup lemon juice"", ""2 tsp grated lemon peel"", ""6 1/2 cup granulated sugar"", ""2 - 3 ounce pouches ball liquid pectin""]","[""Wash blueberries and lemon under cold running water."", ""Drain."", ""Crush blueberries one layer at a time using a potato masher."", ""Grate lemon peel."", ""Measure 2 tsp."", ""Grated lemon peel."", ""Cut lemon in half ."", ""Remove seeds."", ""Juice lemon."", ""Measure 1/3 cup juice."", ""Cook crushed blueberries, grated lemon peel and juice in a large sausepan."", ""Bring mixture to a boil over medium high heat."", ""Add sugar ."", ""Stirring until sugar dissolves."", ""Bring back to a rolling boil that cannot be stirred down."", ""Stir in pectin."", ""Boil hard for 1 minute."", ""Stirring constantly."", ""Remove from heat skim off foam if necessary."", ""Fill hot jam into a hot jar."", ""Leaving 1/4\"" headspace."", ""Remove air bubbles."", ""Clean jar rim."", ""Center lid on jar and adjust band to fingertip tight."", ""Place jar on the rack elevated over simmering water in boiling water canner ."", ""Repeat until all jars are filled."", ""Lower the rack into simmering water."", ""Water must cover jars by 1\""."", ""Adjust heat to medium - high."", ""Cover canner and bring water to a rolling boil."", ""Process half pint jars 10 minutes."", ""Remove from canner."", ""Do not retighten bands if loose."", ""Cool 12 hours."", ""Check seal."", ""Label & store jars..""]",cookpad.com/us/recipes/347072-blueberry-lemon-jam,Recipes1M,"[""blueberries"", ""lemon juice"", ""lemon peel"", ""sugar"", ""pouches""]"
1618624,Tomato Linguine,"[""4 cups tomatoes roasted and"", ""2 tablespoons garlic roasted and"", ""salt to taste"", ""pepper to taste"", ""6 linguine servings, cooked"", ""tap water inch rinsed"", ""24 Roma tomatoes or grilled"", ""6 portobello mushrooms or other large mushr"", ""12 fresh basil leaves""]","[""In a heavy saucepan, mix 4 cups roasted tomatoes with garlic, salt, and pepper. Simmer over medium heat until reduced by one-third."", ""JUST BEFORE SERVING: In a heavy skillet, bring the sauce to boil over medium heat. Add linguine and toss well. Blanch the 6 of the basil leaves in a little boiling water."", ""TO SERVE: Divide the linguine among 6 pasta bowls. Alternate the Roma tomatoes and mushroom slices in a circle around it. Drain and put 1 leaf in the middle of each bowl. Garnish each with a fresh basil leaf.""]",www.yummly.com/recipe/Tomato-Linguine-1675934,Gathered,"[""tomatoes"", ""garlic"", ""salt"", ""pepper"", ""linguine"", ""water"", ""tomatoes"", ""portobello mushrooms"", ""basil""]"
1661182,Peachy JELL-O Dessert Squares,"[""1-1/2 cups boiling water"", ""1 pkg. (6 oz.) JELL-O Peach Flavor Gelatin"", ""1/2 tsp. ground cinnamon"", ""ice cubes"", ""1/2 cup peach nectar"", ""1 tub (8 oz.) COOL WHIP Whipped Topping, thawed, divided"", ""1 can (8.25 oz.) peach slices in juice, drained, chopped""]","[""Add boiling water to combined gelatin mix and cinnamon in large bowl; stir 2 min."", ""until completely dissolved."", ""Add enough ice to nectar to measure 1-1/2 cups."", ""Add to gelatin; stir until slightly thickened."", ""Remove any unmelted ice."", ""Pour 1-1/2 cups gelatin into medium bowl; whisk in half the COOL WHIP until blended."", ""Pour into 8-inch square dish."", ""Refrigerate 10 min."", ""or until set but not firm."", ""Stir peaches into remaining gelatin; pour over gelatin layer in dish."", ""Refrigerate 3 hours or until firm."", ""Serve topped with remaining COOL WHIP.""]",www.kraftrecipes.com/recipes/peachy-jell-o-dessert-squares-164902.aspx,Recipes1M,"[""boiling water"", ""Gelatin"", ""ground cinnamon""]"
1599535,Pumpkin Pie Tart,"[""8 ounces cream cheese softened"", ""1/2 cup sugar"", ""2 tablespoons brown sugar"", ""1/3 cup sour cream"", ""2 tablespoons heavy whipping cream"", ""1 egg"", ""2 egg yolks"", ""2/3 cup pumpkin pureed roasted, see below"", ""1/2 teaspoon salt"", ""1 teaspoon vanilla"", ""1 teaspoon cinnamon roasted, regular cinnamon is okay"", ""1/2 teaspoon ginger"", ""3/4 cup butter softened"", ""1/2 cup powdered sugar"", ""1 1/2 teaspoons vanilla"", ""1/4 teaspoon almond extract"", ""1 1/2 cups flour All-Purpose"", ""1/4 teaspoon salt""]","[""In a mixing bowl, cream together sugars and cream cheese. Add sour cream and whipping cream and mix thoroughly. Add eggs one at a time, incorporating well and scraping the sides of the bowl each time. Add pumpkin, salt, vanilla and spices. Stir together and pour into tart pan lined with shortbread dough. Bake at 350 until just set in the center, about 30-35 minutes. Pipe whipped cream as embellishments, if desired."", ""Cream butter and powdered sugar. Add vanilla and almond extracts. Cut in flour and salt. Cream together until just combined, then wrap in plastic and place in refrigerator for one hour. Allow the dough to come back to room temperature and roll out to 1/4 inch thickness, then press into 9 inch tart pan. Bake after filling with pumpkin filling."", ""Tip 1: Do not overwork your pie crust. Once the dough has come together, allow it to rest. This will keep it light and flaky, not tough. If you are preparing it in the fluted pan, you can simply press the dough into place versus rolling it out first."", ""Tip 2: If after 30 minutes your pie crust is browning but the center still feels shaky, a crust guard or even aluminum foil over the edge of the pie will keep the crust from overbaking while the filling gets done."", ""How to Roast Pumpkin"", ""Cut the top and bottom off of a Pie Pumpkin. Halve the pumpkin, and remove all seeds and fibers, leaving only the cleaned out shell. Brush insides with melted butter, and invert onto baking sheet. Roast for 45-50 minutes in a 350 degree oven, or until pumpkin is soft."", ""Scrape roasted flesh of pumpkin away from the rind and puree in blender until smooth.""]",www.yummly.com/recipe/Pumpkin-Pie-Tart-2098987,Gathered,"[""cream cheese"", ""sugar"", ""brown sugar"", ""sour cream"", ""heavy whipping cream"", ""egg"", ""egg yolks"", ""pumpkin pureed"", ""salt"", ""vanilla"", ""cinnamon"", ""ginger"", ""butter"", ""powdered sugar"", ""vanilla"", ""almond extract"", ""flour"", ""salt""]"
1226652,Easy Gingered Cabbage,"[""2 tablespoons peanut oil or 2 tablespoons corn oil"", ""1 head cabbage, cored, shredded and chopped"", ""1 tablespoon minced garlic"", ""salt and pepper"", ""1 tablespoon fresh ginger, peeled and grated"", ""1 lime, juice of"", ""minced fresh parsley (to garnish) or cilantro leaf (to garnish)""]","[""Place oil in a large, deep skillet over medium-high heat; wait 2 minutes, then add the cabbage. Cook, stirring occasionally, for 5 to 10 minutes."", ""When the cabbage is limp but not mushy, add the garlic, salt, and pepper, and cook another 2 minutes, stirring."", ""Add the ginger and cook another minute. Drizzle with lime juice, garnish and serve.""]",www.food.com/recipe/easy-gingered-cabbage-164275,Gathered,"[""peanut oil"", ""cabbage"", ""garlic"", ""salt"", ""fresh ginger"", ""lime"", ""fresh parsley""]"
1777324,Sweet Egg Salad Sandwishes,"[""1 loaf bread"", ""10 hard boiled eggs"", ""2 cup mayo"", ""1 cup chopped celery"", ""1 cup chopped sweet baby pickles"", ""1/2 tsp salt"", ""1 tsp pepper""]","[""Boil your eggs and let those babies get cool."", ""Cut up your celery and sweet baby pickles into small pieces."", ""(Feel free to add more or less to your liking.)"", ""Set aside."", ""Are your eggs cool?"", ""Deshell your hard boiled eggs."", ""Cut them in half."", ""Make two yolk piles."", ""(I like to use half for the mix and half with the whites.)"", ""Chop your whites and half of your yolks into small chunks and set it aside."", ""Add your mayo (use more mayo if you need too as you add the other ingredients) and the left over yolks (your pile without the whites) into a bowl."", ""Mash and mix it together."", ""Make it creamy."", ""Add your chopped eggs, yolks, celery and sweet baby pickles to your creamy mix- stir, mix, stir some more."", ""Add some salt and pepper to your taste liking."", ""(I personally like a little bit more pepper then salt in mine.)"", ""Toast your bread, just barely."", ""Now- spread that delicious creamy mix onto your bread and eat it!""]",cookpad.com/us/recipes/339730-sweet-egg-salad-sandwishes,Recipes1M,"[""bread"", ""eggs"", ""mayo"", ""celery"", ""sweet baby pickles"", ""salt"", ""pepper""]"
798386,Mulled Cider,"[""1 gal. apple cider"", ""2 (2-inch) cinnamon sticks"", ""15 whole cloves"", ""3 1/2 c. orange juice or ginger ale (optional)""]","[""Fresh unpasteurized cider works best."", ""In a large, heavy pot, combine cider, cinnamon and cloves."", ""Taste the mixture."", ""If the cider lacks flavor, add the orange juice or ginger ale."", ""Warm over medium heat for about 45 minutes."", ""Do not boil!"", ""With a slotted spoon, remove the cloves."", ""Serve hot in mugs."", ""Yields 16 (8 ounce) servings."", ""Has 94 calories.""]",www.cookbooks.com/Recipe-Details.aspx?id=398988,Gathered,"[""apple cider"", ""cinnamon sticks"", ""cloves"", ""orange juice""]"
1431151,White Marlin Gumbo,"[""2 slices bacon"", ""2 medium onions, chopped"", ""3 stalks celery, chopped"", ""1/4 cup vegetable oil"", ""1/4 cup all-purpose flour"", ""1 1/2 quarts water"", ""1 (16-ounce) can tomatoes, drained and chopped"", ""1 1/2 cups sliced okra"", ""1 (8-ounce) can tomato sauce"", ""2 tablespoons lemon juice"", ""1 teaspoon celery salt"", ""1/2 teaspoon salt"", ""1/2 teaspoon pepper"", ""1/2 teaspoon minced garlic"", ""Dash of hot sauce"", ""1 pound medium shrimp, peeled and deveined"", ""1 1/2 pounds marlin fillets, cut into bite-size pieces"", ""Hot cooked rice""]","[""Cook bacon in a heavy skillet until crisp; remove bacon, reserving drippings in skillet. Drain bacon on a paper towel; crumble and set aside."", ""Saute onion and celery in drippings until tender; set aside."", ""Combine oil and flour in a large stock pot, stirring until smooth. Cook over medium heat, stirring occasionally, until roux is the color of a copper penny. Stir in sauteed vegetables, water, tomatoes, okra, tomato sauce, lemon juice, celery salt, salt, pepper, garlic, and hot sauce; cook over low heat 45 minutes, stirring occasionally."", ""Stir in shrimp and marlin; cook an additional 10 minutes or until shrimp are pink and firm. Serve gumbo immediately over hot cooked rice.""]",www.myrecipes.com/recipe/white-marlin-gumbo,Gathered,"[""bacon"", ""onions"", ""stalks celery"", ""vegetable oil"", ""all-purpose"", ""water"", ""tomatoes"", ""okra"", ""tomato sauce"", ""lemon juice"", ""celery salt"", ""salt"", ""pepper"", ""garlic"", ""hot sauce"", ""shrimp"", ""marlin fillets"", ""rice""]"
882081,Restaurant Lasagna,"[""1 box Hamburger Helper lasagna"", ""1 lb. Mozzarella cheese"", ""garlic powder"", ""oregano"", ""1 lb. Ricotta cheese"", ""1 small box uncooked wavy noodles""]","[""Quick delicious lasagna."", ""Follow directions on lasagna box. Add already cooked wavy noodles to frying pan with other ingredients, after rinsing."", ""Season mixture to taste with garlic powder and oregano, while mixture simmers."", ""Once box noodles have softened, turn mixture into baking dish, Corning Ware or similar. Shred Mozzarella into mixture; stir, then add Ricotta cheese sparingly."", ""Oven setting should be on 350\u00b0."", ""Bake 15 to 20 minutes without cover."", ""Bon Appetit.""]",www.cookbooks.com/Recipe-Details.aspx?id=668265,Gathered,"[""Hamburger"", ""Mozzarella cheese"", ""garlic"", ""oregano"", ""Ricotta cheese"", ""wavy noodles""]"
498504,Lime Sherbet Punch,"[""2 1/2 gallons Lime Sherbet"", ""1/2 to 1 bottle of 7-UP"", ""1 1/2 bottle of ginger ale""]","[""Place softened sherbet in punch bowl."", ""Pour liquids over the sherbet."", ""Let set about 20 minutes or until the sherbet is almost melted."", ""Then serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=153352,Gathered,"[""Sherbet"", ""ginger ale""]"
2118999,Mutton Stir Fried(Kerala Style),"[""1 kg mutton (small pieces)"", ""8 small onions, crushed"", ""2 green chilies (crushed)"", ""1 tablespoon crushed gingerroot"", ""1 tablespoon crushed garlic"", ""1 tablespoon garam masala powder"", ""12 teaspoon turmeric powder"", ""1 teaspoon chili powder (red)"", ""2 teaspoons coriander powder"", ""3 stalks curry leaves"", ""1 teaspoon mustard seeds"", ""12 teaspoon fenugreek seeds"", ""salt"", ""12 cup water"", ""3 tablespoons coconut oil""]","[""Clean and wash mutton, keep aside to drain water."", ""In a pressure cooker put the mutton pieces,to it add the crushed small onions, green chillies, garlic, ginger, garam masala powder, turmeric powder, chillie powder and coriander powder."", ""To it add salt and water stir it for 3minutes then place the lid of the cooker and cook till the mutton is cooked,and the gravy is thick (usually takes 10 minutes to cook, depends upon the tenderness of the mutton)."", ""Heat a frying pan pour coconut oil into it add mustard seeds, fenugreek seeds, and curry leaves."", ""To it add the cooked mutton along with the thick gravy and stir fry for about 4 to 5 min in medium flame till the mutton is brown in colour."", ""Now the dish is ready to serve with rice or chappattis.""]",www.food.com/recipe/mutton-stir-fried-kerala-style-273699,Recipes1M,"[""mutton"", ""onions"", ""green chilies"", ""gingerroot"", ""garlic"", ""garam masala"", ""turmeric"", ""chili powder"", ""coriander powder"", ""curry"", ""mustard seeds"", ""fenugreek seeds"", ""salt"", ""water"", ""coconut oil""]"
